分组序	键位	字根	举例
1	N	``	乙 **nnll** `※※※` / 乞 **tnb** `※※` / 亿 **wnn** `※※`
2	N	``	已 **nnnn** `※※※`
3	N	``	己 **nngn** `※※※` / 记 **ynn** `※※` / 岂 **mnb** `※※`
4	N	``	巳 **nngn** `※※※` / 包 **qnv** `※※` / 导 **nfu** `※※`
5	N	``	尸 **nngt** `※※※` / 户 **yne** `※※` / 尺 **nyi** `※※`
6	N	``	心 **nyny** `※※※` / 必 **nte** `※※` / 志 **fnu** `※※`
7	N	``	忆 **nnn** `※※` / 忙 **nynn** `※※※` / 怀 **ngiy** `※※※`
8	N	``	恭 **awnu** `※※※` / 添 **igdn** `※※※` / 慕 **ajdn** `※※※`
9	N	``	羽 **nnyg** `※※※` / 翅 **fcnd** `※※※` / 翁 **wcnf** `※※※`
10	N	``	了 **bnh** `※※` / 买 **nudu** `※※※` / 卖 **fnud** `※※※`
11	N	``	改 **nty** `※※` / 凯 **mnmn** `※※※` / 剀 **mnjh** `※※※`
12	N	``	民 **nav** `※※` / 氓 **ynna** `※※※` / 眠 **hnan** `※※※`
13	N	``	巨 **and** `※※` / 臣 **ahnh** `※※※` / 拒 **rang** `※※※`
14	N	``	决 **unwy** `※※※` / 诀 **ynwy** `※※※` / 块 **fnwy** `※※※`
15	N	``	声 **fnr** `※※` / 眉 **nhd** `※※` / 媚 **vnhg** `※※※`
16	N	``	 
17	N	``	尸 **nngt** `※※※` / 己 **nngn** `※※※` / 巳 **nngn** `※※※`
18	N	``	讠 **yyn** `※※`
19	N	``	几 **mtn** `※※` / 九 **vtn** `※※` / 瓦 **gnyn** `※※※`
20	N	``	阝 **bnh** `※※`
21	N	``	廴 **pny** `※※`
22	N	``	乃 **etn** `※※` / 场 **fnrt** `※※※` / 扬 **rnrt** `※※※`
23	N	``	瓦 **gnyn** `※※※` / 以 **nywy** `※※※` / 叫 **knhh** `※※※`
24	N	``	巛 **vnnn** `※※※`
25	N	``	戈 **agnt** `※※※` / 戊 **dnyt** `※※※` / 戌 **dgnt** `※※※`
26	N	``	专 **fnyi** `※※※` / 传 **wfny** `※※※` / 转 **lfny** `※※※`
27	N	``	亏 **fnv** `※※` / 与 **gngd** `※※※` / 弓 **xngn** `※※※`
28	N	``	鼎 **hndn** `※※※` / 鼐 **ehnn** `※※※`
29	N	``	万 **dnv** `※※` / 方 **yygn** `※※※` / 幻 **xnn** `※※`
30	N	``	车 **lgnh** `※※※` / 发 **ntcy** `※※※` / 亥 **yntw** `※※※`
31	N	``	也 **bnhn** `※※※` / 乜 **nnv** `※※`
32	N	``	亡 **ynv** `※※` / 世 **anv** `※※` / 芒 **aynb** `※※※`
33	N	``	七 **agn** `※※` / 儿 **qtn** `※※` / 匕 **xtn** `※※`
34	N	``	飞 **nui** `※※` / 气 **rnb** `※※` / 讯 **ynfh** `※※※`
35	N	``	刁 **ngd** `※※` / 刀 **vnt** `※※` / 力 **ltn** `※※`
36	N	``	今 **wynb** `※※※` / 吟 **kwyn** `※※※` / 含 **wynk** `※※※`
37	N	``	夕 **qtny** `※※※` / 夂 **ttny** `※※※`
38	N	``	辶 **pyny** `※※※`
39	N	``	 
40	N	``	吳 **kndu** `※※※` / 娛 **vknd** `※※※`
41	N	``	 
1	B	``	粼 **oqab** `※※※`
2	B	``	子 **bbbb** `※※※` / 仔 **wbg** `※※` / 孕 **ebf** `※※`
3	B	``	孔 **bnn** `※※` / 孙 **biy** `※※` / 吼 **kbnn** `※※※`
4	B	``	队 **bwy** `※※` / 邓 **cbh** `※※` / 邦 **dtbh** `※※※`
5	B	``	耳 **bghg** `※※※` / 取 **bcy** `※※` / 茸 **abf** `※※`
6	B	``	仓 **wbb** `※※` / 犯 **qtbn** `※※※` / 创 **wbjh** `※※※`
7	B	``	了 **bnh** `※※` / 辽 **bpk** `※※` / 疗 **ubk** `※※`
8	B	``	也 **bnhn** `※※※` / 他 **wbn** `※※` / 地 **fbn** `※※`
9	B	``	屯 **gbnv** `※※※` / 凶 **qbk** `※※` / 出 **bmk** `※※`
10	B	``	叩 **kbh** `※※` / 印 **qgbh** `※※※` / 卯 **qtbh** `※※※`
11	B	``	 
12	B	``	顾 **dbdm** `※※※` / 剜 **pqbj** `※※※`
13	B	``	报 **rbcy** `※※※` / 服 **ebcy** `※※※` / 赧 **fobc** `※※※`
14	B	``	卫 **bgd** `※※` / 节 **abj** `※※` / 爷 **wqbj** `※※※`
15	B	``	予 **cbj** `※※` / 矛 **cbtr** `※※※` / 抒 **rcbh** `※※※`
