unicode	char	fanti	jianti	group	level	is_radical	ids	pinyin	radical	strokes	stroke_seq	freq	basic
U+738B	王	王	王	A1a	一级	★	⿱一土	wáng / wàng	玉（𤣩王）	4	1121	4536624	1
U+5F00	开	開	开	A1a	一级		⿱一廾	kāi	廾	4	1132	16709424	1
U+4E95	井	井	井	A1a	一级		⿻廾一	jǐng	二	4	1132	486132	1
U+5929	天	天	天	A1a	一级		⿱一大	tiān	大	4	1134	13855178	1
U+592B	夫	夫	夫	A1a	一级		⿻一大	fū / fú	大	4	1134	1889813	1
U+5143	元	元	元	A1a	一级		⿱一兀	yuán	儿	4	1135	12424255	1
U+65E0	无	無	无	A1a	一级	★	⿱一尢	wú	一	4	1135	6933342	1
U+4E91	云	雲	云	A1a	一级		⿱二厶	yún	二	4	1154	1751790	1
U+4E13	专	專	专	A1a	一级		⿱⿻一𠀁丶	zhuān	一	4	1154	5491924	1
U+624E	扎	扎	扎	A1a	一级		⿰扌乚	zā / zhā / zhá	手（扌龵）	4	1215	635868	1
U+827A	艺	藝	艺	A1a	一级		⿱艹乙	yì	艸（艹）	4	1225	2237332	1
U+6728	木	木	木	A1a	一级	★	⿻十人	mù	木	4	1234	947032	1
U+4E94	五	五	五	A1a	一级		⿱一𫝀	wǔ	二	4	1251	3376380	1
U+652F	支	支	支	A1a	一级	★	⿱十又	zhī	支	4	1254	4552598	1
U+5385	厅	廳	厅	A1a	一级		⿸厂丁	tīng	厂	4	1312	1090239	1
U+4E0D	不	不	不	A1a	一级		⿸丆卜	bù	一	4	1324	42730074	1
U+72AC	犬	犬	犬	A1a	一级	★	⿺大丶	quǎn	犬（犭）	4	1344	101793	0
U+592A	太	太	太	A1a	一级		⿱大丶	tài	大	4	1344	3014047	1
U+533A	区	區	区	A1a	一级		⿷匚㐅	ōu / qū	匸	4	1345	13608973	1
U+5386	历	歷	历	A1a	一级		⿸厂力	lì	厂	4	1353	2976998	1
U+53CB	友	友	友	A1a	一级		⿸𠂇又	yǒu	又	4	1354	3333044	1
U+5C24	尤	尤	尤	A1a	一级		⿺尢丶	yóu	尢	4	1354	891773	1
U+5339	匹	匹	匹	A1a	一级		⿷匚儿	pǐ	匸	4	1355	193174	1
U+8F66	车	車	车	A1a	一级	★	⿻⿻一𠃋十	chē / jū	车（車）	4	1512	13254755	1
U+5DE8	巨	巨	巨	A1a	一级	★	⿷匚コ	jù	匚	4	1515	1244241	1
U+7259	牙	牙	牙	A1a	一级	★	⿹𡕒丿	yá	牙	4	1523	738728	1
U+6208	戈	戈	戈	A1a	一级	★	⿻弋丿	gē	戈	4	1534	235799	0
