char	code	code_short	code_more	units	flag
一	ggll	g/ggl		〖󰂶※󰂶※󰃒※󰃒〗	
乙	nnll	nnl		〖󰃝※󰃝※󰃒※󰃒〗	
二	fgg			〖󰂭※󰂶※󰂶〗	
十	fgh	fg		〖󰂱※󰂶※󰂺〗	
丁	sgh			〖󰄆※󰂶※󰂻〗	
厂	dgt			〖󰂡※󰂶※󰄋〗	
七	agn	ag		〖󰂌※󰂶※󰄻〗	
卜	hhy			〖󰂿※󰂺※󰄼〗	
八	wty	wt		〖󰄦※󰄋※󰂃〗	
人	wwww	w		〖󰄤※󰄤※󰄤※󰄤〗	
入	tyi	ty		〖󰄋※󰂃※󰀦〗	捺·杂合〔丶 ⿻〕
儿	qtn	qt		〖󰃺※󰄋※󰄻〗	
匕	xtn			〖󰄮※󰄋※󰄻〗	
几	wtn			〖󰄨※󰄋※󰁊〗	
九	vtn	vt		〖󰄡※󰄋※󰁊〗	
刁	ngd			〖󰂁※󰀞※󰀌〗	横·杂合〔一 ⿻〕
了	bnh	b		〖󰂒※󰃦※󰂻〗	
刀	vnt			〖󰄠※󰂁※󰄋〗	
力	ent	en		〖󰂫※󰂁※󰄋〗	
乃	bnt			〖󰂖※󰁍※󰄋〗	
又	cccc	ccc		〖󰂘※󰂘※󰂘※󰂘〗	
三	dggg			〖󰂜※󰂶※󰂶※󰂶〗	
干	fggh			〖󰂰※󰂶※󰂶※󰂺〗	
于	gfk	gf		〖󰂶※󰀛※󰀵〗	竖·杂合〔丨 ⿻〕
亏	fnb			〖󰂭※󰁔※󰀅〗	折·上下〔乛 ⿱〕
工	aaaa	a/aaa		〖󰂆※󰂆※󰂆※󰂆〗	
土	ffff			〖󰂮※󰂮※󰂮※󰂮〗	
士	fghg			〖󰂯※󰂶※󰂺※󰂶〗	
才	fte	ft		〖󰀛※󰄋※󰀏〗	丿·杂合〔丿 ⿻〕
下	ghi	gh		〖󰂶※󰂿※󰀦〗	捺·杂合〔丶 ⿻〕
寸	fghy			〖󰂳※󰂶※󰂻※󰄼〗	
大	dddd	dd		〖󰂝※󰂝※󰂝※󰂝〗	
丈	dyi			〖󰁼※󰂃※󰀦〗	捺·杂合〔丶 ⿻〕
与	gngd	gn/gng		〖󰂶※󰁔※󰂶※󰀌〗	横·杂合〔一 ⿻〕
万	gqe	gq		〖󰂶※󰁡※󰀏〗	丿·杂合〔丿 ⿻〕
上	hhgg	h		〖󰂽※󰂺※󰂶※󰂶〗	
小	ihty	ih/iht		〖󰃅※󰂻※󰄋※󰄼〗	
口	kkkk			〖󰃏※󰃏※󰃏※󰃏〗	
山	mmmm	mmm		〖󰃘※󰃘※󰃘※󰃘〗	
巾	mhk			〖󰃜※󰂺※󰀵〗	竖·杂合〔丨 ⿻〕
千	tfk			〖󰄋※󰂱※󰀵〗	竖·杂合〔丨 ⿻〕
乞	tnb			〖󰁿※󰃝※󰀅〗	折·上下〔乛 ⿱〕
川	kthh			〖󰃎※󰄋※󰂺※󰂺〗	
