char	code	code_short	code_more	units	flag
亿	wnn	wn		〖󰄥※󰃝※󰁀〗	折·左右〔乛 ⿰〕
个	whj	wh		〖󰄤※󰂺※󰀬〗	竖·上下〔丨 ⿱〕
夕	qtny			〖󰃹※󰄋※󰃦※󰄼〗	
久	qyi	qy		〖󰁛※󰂃※󰀦〗	捺·杂合〔丶 ⿻〕
么	tcu	tc		〖󰄋※󰂙※󰁧〗	捺·上下〔丶 ⿱〕
勺	qyi			〖󰃷※󰄼※󰀦〗	捺·杂合〔丶 ⿻〕
凡	wyi			〖󰄨※󰄼※󰀦〗	捺·杂合〔丶 ⿻〕
丸	vyi			〖󰄡※󰄼※󰀦〗	捺·杂合〔丶 ⿻〕
及	byi	by		〖󰂖※󰂃※󰀦〗	捺·杂合〔丶 ⿻〕
广	oygt	oy/oyg		〖󰃫※󰄼※󰂶※󰄋〗	
亡	ynv			〖󰄶※󰄃※󰁫〗	折·杂合〔乛 ⿻〕
门	uyhn	uyh		〖󰄙※󰄼※󰂺※󰂁〗	
丫	uhk			〖󰄒※󰂺※󰀵〗	竖·杂合〔丨 ⿻〕
义	yri	yr		〖󰄼※󰄄※󰀦〗	捺·杂合〔丶 ⿻〕
之	pppp	pp/ppp		〖󰃭※󰃭※󰃭※󰃭〗	
尸	nngt			〖󰃡※󰁈※󰂶※󰄋〗	
己	nngn	nng		〖󰃟※󰁈※󰂶※󰄻〗	
已	nnnn	nn		〖󰃞※󰃞※󰃞※󰃞〗	
巳	nngn			〖󰃠※󰁈※󰂶※󰄻〗	
弓	xngn	xng		〖󰄬※󰁈※󰂶※󰁔〗	
子	bbbb	bb/bbb		〖󰂍※󰂍※󰂍※󰂍〗	
卫	bgd	bg		〖󰁹※󰂶※󰀌〗	横·杂合〔一 ⿻〕
也	bnhn	bn		〖󰂓※󰂄※󰂺※󰄻〗	
女	vvvv	vvv		〖󰄟※󰄟※󰄟※󰄟〗	
刃	vyi			〖󰄠※󰄼※󰀦〗	捺·杂合〔丶 ⿻〕
飞	nui			〖󰄺※󰁨※󰀦〗	捺·杂合〔丶 ⿻〕
习	nud	nu		〖󰂁※󰄑※󰀌〗	横·杂合〔一 ⿻〕
叉	cyi	cy		〖󰂘※󰄼※󰀦〗	捺·杂合〔丶 ⿻〕
马	cgd	cg		〖󰀊※󰂶※󰀌〗	横·杂合〔一 ⿻〕
乡	xte	xt		〖󰁲※󰄋※󰀏〗	丿·杂合〔丿 ⿻〕
丰	dhk			〖󰂜※󰂺※󰀵〗	竖·杂合〔丨 ⿻〕
王	gggg	ggg		〖󰂷※󰂷※󰂷※󰂷〗	
开	gak	ga		〖󰂶※󰂉※󰀵〗	竖·杂合〔丨 ⿻〕
井	fjk			〖󰂭※󰀯※󰀵〗	竖·杂合〔丨 ⿻〕
天	gdi	gd		〖󰂶※󰂝※󰀦〗	捺·杂合〔丶 ⿻〕
夫	gggy			〖󰂹※󰂶※󰂶※󰂃〗	
元	fqb			〖󰂭※󰃺※󰀅〗	折·上下〔乛 ⿱〕
无	fqv	fq		〖󰂭※󰁜※󰁫〗	折·杂合〔乛 ⿻〕
云	fcu			〖󰂭※󰂙※󰁧〗	捺·上下〔丶 ⿱〕
专	fnyi	fny		〖󰂭※󰁓※󰄼※󰀦〗	捺·杂合〔丶 ⿻〕
丐	ghnv			〖󰂶※󰀥※󰁔※󰁫〗	折·杂合〔乛 ⿻〕
扎	rnn			〖󰃿※󰄻※󰁀〗	折·左右〔乛 ⿰〕
艺	anb	an		〖󰄖※󰃝※󰀅〗	折·上下〔乛 ⿱〕
木	ssss			〖󰄅※󰄅※󰄅※󰄅〗	
五	gghg	gg/ggh		〖󰂸※󰂶※󰂺※󰂶〗	
支	fcu	fc		〖󰂱※󰂘※󰁧〗	捺·上下〔丶 ⿱〕
厅	dsk	ds		〖󰂡※󰄆※󰀵〗	竖·杂合〔丨 ⿻〕
不	dhi	i		〖󰂢※󰂿※󰀦〗	捺·杂合〔丶 ⿻〕
犬	dgty			〖󰂣※󰂶※󰄋※󰄼〗	
太	dyi	dy		〖󰂝※󰄼※󰀦〗	捺·杂合〔丶 ⿻〕
区	ari	ar		〖󰂋※󰄄※󰀦〗	捺·杂合〔丶 ⿻〕
历	dee	de		〖󰂡※󰂫※󰀏〗	丿·杂合〔丿 ⿻〕
歹	gqi			〖󰂶※󰃹※󰀦〗	捺·杂合〔丶 ⿻〕
友	dcu	dc		〖󰁼※󰂘※󰁧〗	捺·上下〔丶 ⿱〕
尤	dnyi	dny		〖󰁼※󰄻※󰄼※󰀦〗	捺·杂合〔丶 ⿻〕
匹	aqv	aq		〖󰂋※󰃺※󰁫〗	折·杂合〔乛 ⿻〕
车	lgnh	lg/lgn		〖󰃖※󰂶※󰂂※󰂺〗	
巨	and			〖󰂋※󰁃※󰀌〗	横·杂合〔一 ⿻〕
牙	ahte	ah/aht		〖󰀄※󰂻※󰄋※󰀏〗	丿·杂合〔丿 ⿻〕
屯	gbnv	gbn		〖󰂶※󰂔※󰄻※󰁫〗	折·杂合〔乛 ⿻〕
戈	agny			〖󰂇※󰂶※󰁒※󰄼〗	
比	xxn	xx		〖󰁴※󰄮※󰁀〗	折·左右〔乛 ⿰〕
互	gxd	gx		〖󰂶※󰄰※󰀌〗	横·杂合〔一 ⿻〕
切	avt	av		〖󰀃※󰄠※󰁥〗	丿·左右〔丿 ⿰〕
瓦	gnny	gnn		〖󰂶※󰁐※󰁊※󰄼〗	
止	hhgg	hhg		〖󰂾※󰂺※󰂶※󰂶〗	
少	ite	it		〖󰃅※󰄋※󰀏〗	丿·杂合〔丿 ⿻〕
曰	jhng			〖󰃋※󰂺※󰁈※󰂶〗	
日	jjjj			〖󰃊※󰃊※󰃊※󰃊〗	
中	khk	k		〖󰃏※󰂺※󰀵〗	竖·杂合〔丨 ⿻〕
贝	mhny			〖󰃚※󰂺※󰁈※󰄼〗	
冈	mri	mr		〖󰃜※󰄄※󰀦〗	捺·杂合〔丶 ⿻〕
内	mwi	mw		〖󰃜※󰄤※󰀦〗	捺·杂合〔丶 ⿻〕
水	iiii	ii/iii		〖󰃂※󰃂※󰃂※󰃂〗	
见	mqb	mq		〖󰀿※󰁜※󰀅〗	折·上下〔乛 ⿱〕
午	tfj			〖󰁿※󰂱※󰀬〗	竖·上下〔丨 ⿱〕
牛	tgk			〖󰄋※󰀟※󰀵〗	竖·杂合〔丨 ⿻〕
手	rtgh	rt		〖󰃾※󰄋※󰂶※󰂻〗	
气	rtgn	rtg		〖󰄂※󰄋※󰂶※󰄺〗	
毛	etgn			〖󰂬※󰄋※󰂶※󰄻〗	
壬	tfd			〖󰄋※󰂯※󰀌〗	横·杂合〔一 ⿻〕
升	tak			〖󰄋※󰂉※󰀵〗	竖·杂合〔丨 ⿻〕
夭	tdi			〖󰄋※󰂝※󰀦〗	捺·杂合〔丶 ⿻〕
长	tayi	ta/tay		〖󰄋※󰀃※󰂃※󰀦〗	捺·杂合〔丶 ⿻〕
仁	wfg			〖󰄥※󰂭※󰀝〗	横·左右〔一 ⿰〕
什	wfh	wf		〖󰄥※󰂱※󰀢〗	竖·左右〔丨 ⿰〕
片	thgn	thg		〖󰄋※󰂺※󰂶※󰁈〗	
仆	why			〖󰄥※󰂿※󰁶〗	捺·左右〔丶 ⿰〕
化	wxn	wx		〖󰄥※󰁳※󰁀〗	折·左右〔乛 ⿰〕
仇	wvn			〖󰄥※󰄡※󰁀〗	折·左右〔乛 ⿰〕
币	tmhk	tmh		〖󰄋※󰃜※󰂺※󰀵〗	竖·杂合〔丨 ⿻〕
仍	wbt			〖󰄥※󰂖※󰁥〗	丿·左右〔丿 ⿰〕
仅	wcy			〖󰄥※󰂘※󰁶〗	捺·左右〔丶 ⿰〕
斤	rtth	rtt		〖󰄀※󰄋※󰄋※󰂺〗	
爪	rhyi			〖󰃼※󰂺※󰂃※󰀦〗	捺·杂合〔丶 ⿻〕
反	rci	rc		〖󰃼※󰂘※󰀦〗	捺·杂合〔丶 ⿻〕
介	wjj	wj		〖󰄤※󰀯※󰀬〗	竖·上下〔丨 ⿱〕
父	wru			〖󰄦※󰄄※󰁧〗	捺·上下〔丶 ⿱〕
从	wwy	ww		〖󰄤※󰄤※󰁶〗	捺·左右〔丶 ⿰〕
仑	wxb			〖󰄤※󰄮※󰀅〗	折·上下〔乛 ⿱〕
今	wynb	wyn		〖󰄤※󰄼※󰃦※󰀅〗	折·上下〔乛 ⿱〕
凶	rbk			〖󰄄※󰂔※󰀵〗	竖·杂合〔丨 ⿻〕
分	wvr	wv		〖󰄦※󰄠※󰁣〗	丿·上下〔丿 ⿱〕
乏	tpu	tp		〖󰄋※󰃭※󰁧〗	捺·上下〔丶 ⿱〕
公	wcu	wc		〖󰄦※󰂙※󰁧〗	捺·上下〔丶 ⿱〕
仓	wbb			〖󰄤※󰂑※󰀅〗	折·上下〔乛 ⿱〕
月	eeee	eee		〖󰂧※󰂧※󰂧※󰂧〗	
氏	qav	qa		〖󰁚※󰀁※󰁫〗	折·杂合〔乛 ⿻〕
勿	qre	qr		〖󰃷※󰁤※󰀏〗	丿·杂合〔丿 ⿻〕
欠	qwu	qw		〖󰄾※󰄤※󰁧〗	捺·上下〔丶 ⿱〕
风	wri	wr		〖󰁰※󰄄※󰀦〗	捺·杂合〔丶 ⿻〕
丹	myd	my		〖󰀼※󰄶※󰀌〗	横·杂合〔一 ⿻〕
匀	qud	qu		〖󰃷※󰄑※󰀌〗	横·杂合〔一 ⿻〕
乌	tnng	tnn		〖󰄋※󰂁※󰁔※󰂶〗	
勾	qci			〖󰃷※󰂙※󰀦〗	捺·杂合〔丶 ⿻〕
凤	wci			〖󰁰※󰂘※󰀦〗	捺·杂合〔丶 ⿻〕
六	uygy	uy		〖󰄘※󰄼※󰂶※󰄼〗	
文	yygy			〖󰄷※󰄼※󰂶※󰂃〗	
亢	ywb			〖󰄶※󰄨※󰀅〗	折·上下〔乛 ⿱〕
方	yygt	yy		〖󰄸※󰄼※󰂶※󰄋〗	
火	oooo	ooo		〖󰃩※󰃩※󰃩※󰃩〗	
为	yeyi	o/yey		〖󰄼※󰂫※󰄼※󰀦〗	捺·杂合〔丶 ⿻〕
斗	ufk	uf		〖󰁦※󰂱※󰀵〗	竖·杂合〔丨 ⿻〕
忆	nnn			〖󰃣※󰃝※󰁀〗	折·左右〔乛 ⿰〕
计	yfh	yf		〖󰄵※󰂱※󰀢〗	竖·左右〔丨 ⿰〕
订	ysh	ys		〖󰄵※󰄆※󰀢〗	竖·左右〔丨 ⿰〕
户	yne			〖󰄼※󰃡※󰀏〗	丿·杂合〔丿 ⿻〕
认	ywy	yw		〖󰄵※󰄤※󰁶〗	捺·左右〔丶 ⿰〕
冗	pwb			〖󰃱※󰄨※󰀅〗	折·上下〔乛 ⿱〕
讥	ywn			〖󰄵※󰄨※󰁀〗	折·左右〔乛 ⿰〕
心	nyny	ny		〖󰃢※󰄼※󰄻※󰄼〗	
尺	nyi			〖󰃡※󰂃※󰀦〗	捺·杂合〔丶 ⿻〕
引	xhh	xh		〖󰄬※󰂺※󰀢〗	竖·左右〔丨 ⿰〕
丑	nhgg	nhg		〖󰁈※󰂺※󰂶※󰂶〗	
巴	cnhn	cnh		〖󰂚※󰁈※󰂺※󰄻〗	
孔	bnn			〖󰂎※󰄻※󰁀〗	折·左右〔乛 ⿰〕
队	bwy	bw		〖󰂏※󰄤※󰁶〗	捺·左右〔丶 ⿰〕
办	ewi	ew		〖󰂫※󰄦※󰀦〗	捺·杂合〔丶 ⿻〕
以	nywy	c		〖󰁐※󰄼※󰄤※󰁶〗	捺·左右〔丶 ⿰〕
允	cqb			〖󰂙※󰃺※󰀅〗	折·上下〔乛 ⿱〕
予	cnhj	cn		〖󰁻※󰃦※󰂻※󰀬〗	竖·上下〔丨 ⿱〕
邓	cbh	cb		〖󰂘※󰂏※󰀢〗	竖·左右〔丨 ⿰〕
劝	cet			〖󰂘※󰂫※󰁥〗	丿·左右〔丿 ⿰〕
双	ccy	cc		〖󰂘※󰂘※󰁶〗	捺·左右〔丶 ⿰〕
书	nnhy	nnh		〖󰁈※󰂁※󰂺※󰄼〗	
幻	xnn			〖󰄩※󰂁※󰁀〗	折·左右〔乛 ⿰〕
玉	gyi	gy		〖󰂷※󰄼※󰀦〗	捺·杂合〔丶 ⿻〕
刊	fjh	fj		〖󰂰※󰃉※󰀢〗	竖·左右〔丨 ⿰〕
未	fggy			〖󰂵※󰂶※󰂶※󰂃〗	
末	gsi	gs		〖󰂶※󰄅※󰀦〗	捺·杂合〔丶 ⿻〕
示	fiu	fi		〖󰂭※󰃅※󰁧〗	捺·上下〔丶 ⿱〕
击	gbk	gb		〖󰀟※󰂔※󰀵〗	竖·杂合〔丨 ⿻〕
打	rsh	rs		〖󰃿※󰄆※󰀢〗	竖·左右〔丨 ⿰〕
巧	agnn			〖󰂆※󰂶※󰁔※󰁀〗	折·左右〔乛 ⿰〕
正	ghd			〖󰂶※󰂾※󰀌〗	横·杂合〔一 ⿻〕
扑	rhy			〖󰃿※󰂿※󰁶〗	捺·左右〔丶 ⿰〕
卉	faj			〖󰂱※󰂉※󰀬〗	竖·上下〔丨 ⿱〕
扒	rwy			〖󰃿※󰄦※󰁶〗	捺·左右〔丶 ⿰〕
功	aet	ae		〖󰂆※󰂫※󰁥〗	丿·左右〔丿 ⿰〕
扔	rbt			〖󰃿※󰂖※󰁥〗	丿·左右〔丿 ⿰〕
去	fcu			〖󰂮※󰂙※󰁧〗	捺·上下〔丶 ⿱〕
甘	fghg			〖󰂴※󰂶※󰂺※󰂶〗	
世	anv			〖󰂊※󰄃※󰁫〗	折·杂合〔乛 ⿻〕
艾	aru			〖󰄖※󰄄※󰁧〗	捺·上下〔丶 ⿱〕
古	dghg	dgh		〖󰂟※󰂶※󰂺※󰂶〗	
节	abj	ab		〖󰄖※󰁹※󰀬〗	竖·上下〔丨 ⿱〕
本	sgd	sg		〖󰄅※󰂶※󰀌〗	横·杂合〔一 ⿻〕
术	syi	sy		〖󰄅※󰄼※󰀦〗	捺·杂合〔丶 ⿻〕
可	skd	sk		〖󰄆※󰃏※󰀌〗	横·杂合〔一 ⿻〕
丙	gmwi	gmw		〖󰂶※󰃜※󰄤※󰀦〗	捺·杂合〔丶 ⿻〕
左	daf	da		〖󰁼※󰂆※󰀘〗	横·上下〔一 ⿱〕
厉	dgqe	dgq		〖󰂡※󰂶※󰁡※󰀏〗	丿·杂合〔丿 ⿻〕
石	dgtg			〖󰂠※󰂶※󰄋※󰂶〗	
右	dkf	dk		〖󰁼※󰃏※󰀘〗	横·上下〔一 ⿱〕
布	dmhj	dmh		〖󰁼※󰃜※󰂺※󰀬〗	竖·上下〔丨 ⿱〕
夯	der			〖󰂝※󰂫※󰁣〗	丿·上下〔丿 ⿱〕
戊	dgty			〖󰂤※󰂶※󰄋※󰄼〗	
龙	dxyi	dx/dxy		〖󰁼※󰁳※󰄼※󰀦〗	捺·杂合〔丶 ⿻〕
平	gufk	guf		〖󰂶※󰄒※󰂱※󰀵〗	竖·杂合〔丨 ⿻〕
灭	goi			〖󰂶※󰃩※󰀦〗	捺·杂合〔丶 ⿻〕
轧	lnn			〖󰃖※󰄻※󰁀〗	折·左右〔乛 ⿰〕
东	aii	ai		〖󰀂※󰃅※󰀦〗	捺·杂合〔丶 ⿻〕
卡	hhu			〖󰂽※󰂿※󰁧〗	捺·上下〔丶 ⿱〕
北	uxn	ux		〖󰁩※󰄮※󰁀〗	折·左右〔乛 ⿰〕
占	hkf	hk		〖󰀥※󰃏※󰀘〗	横·上下〔一 ⿱〕
凸	hghg	hgh		〖󰂺※󰂶※󰂺※󰂶〗	
卢	hnr			〖󰀥※󰃡※󰁣〗	丿·上下〔丿 ⿱〕
业	ohhg	oh/ohh		〖󰃬※󰂺※󰂺※󰂶〗	
旧	hjg	hj		〖󰂺※󰃊※󰀝〗	横·左右〔一 ⿰〕
帅	jmhh	jmh		〖󰀮※󰃜※󰂺※󰀢〗	竖·左右〔丨 ⿰〕
归	jvg	jv		〖󰀮※󰄢※󰀝〗	横·左右〔一 ⿰〕
旦	jgf			〖󰃋※󰂶※󰀘〗	横·上下〔一 ⿱〕
目	hhhh	hhh		〖󰂼※󰂼※󰂼※󰂼〗	
且	egd	eg		〖󰀐※󰂶※󰀌〗	横·杂合〔一 ⿻〕
叶	kfh	kf		〖󰃏※󰂱※󰀢〗	竖·左右〔丨 ⿰〕
甲	lhnh			〖󰃑※󰂺※󰁈※󰂺〗	
申	jhk			〖󰃋※󰂺※󰀵〗	竖·杂合〔丨 ⿻〕
叮	ksh			〖󰃏※󰄆※󰀢〗	竖·左右〔丨 ⿰〕
电	jnv	jn		〖󰃋※󰄻※󰁫〗	折·杂合〔乛 ⿻〕
号	kgnb	kg/kgn		〖󰃏※󰂶※󰁔※󰀅〗	折·上下〔乛 ⿱〕
田	llll	ll/lll		〖󰃐※󰃐※󰃐※󰃐〗	
由	mhng	mh		〖󰃙※󰂺※󰁈※󰂶〗	
只	kwu	kw		〖󰃏※󰄦※󰁧〗	捺·上下〔丶 ⿱〕
叭	kwy			〖󰃏※󰄦※󰁶〗	捺·左右〔丶 ⿰〕
史	kri			〖󰃏※󰄄※󰀦〗	捺·杂合〔丶 ⿻〕
央	mdi	md		〖󰀿※󰂝※󰀦〗	捺·杂合〔丶 ⿻〕
兄	kqb	kq		〖󰃏※󰃺※󰀅〗	折·上下〔乛 ⿱〕
叽	kwn			〖󰃏※󰄨※󰁀〗	折·左右〔乛 ⿰〕
叼	kngg	kng		〖󰃏※󰂁※󰀞※󰀝〗	横·左右〔一 ⿰〕
叫	knhh	kn/knh		〖󰃏※󰁐※󰂺※󰀢〗	竖·左右〔丨 ⿰〕
叩	kbh			〖󰃏※󰂕※󰀢〗	竖·左右〔丨 ⿰〕
叨	kvt			〖󰃏※󰄠※󰁥〗	丿·左右〔丿 ⿰〕
另	ker	ke		〖󰃏※󰂫※󰁣〗	丿·上下〔丿 ⿱〕
叹	kcy			〖󰃏※󰂘※󰁶〗	捺·左右〔丶 ⿰〕
冉	mfd			〖󰃜※󰂮※󰀌〗	横·杂合〔一 ⿻〕
皿	lhng	lhn		〖󰃕※󰂺※󰁈※󰂶〗	
凹	hnhg	hnh		〖󰂺※󰁎※󰂺※󰂶〗	
囚	lwi			〖󰃒※󰄤※󰀦〗	捺·杂合〔丶 ⿻〕
四	lhng	lh		〖󰃓※󰂺※󰁈※󰂶〗	
生	tgd			〖󰄋※󰁽※󰀌〗	横·杂合〔一 ⿻〕
矢	tdu			〖󰁿※󰂝※󰁧〗	捺·上下〔丶 ⿱〕
失	tgi			〖󰄋※󰂹※󰀦〗	捺·杂合〔丶 ⿻〕
乍	thff	thf		〖󰁿※󰂺※󰂭※󰀘〗	横·上下〔一 ⿱〕
禾	tttt	ttt		〖󰄌※󰄌※󰄌※󰄌〗	
丘	rthg	rth		〖󰄁※󰄋※󰂺※󰂶〗	
付	wfy			〖󰄥※󰂳※󰁶〗	捺·左右〔丶 ⿰〕
仗	wdyy			〖󰄥※󰁼※󰂃※󰁶〗	捺·左右〔丶 ⿰〕
代	wayy	wa		〖󰄥※󰀁※󰄼※󰁶〗	捺·左右〔丶 ⿰〕
仙	wmh	wm		〖󰄥※󰃘※󰀢〗	竖·左右〔丨 ⿰〕
们	wun	wu		〖󰄥※󰄙※󰁀〗	折·左右〔乛 ⿰〕
仪	wyry	wyr		〖󰄥※󰄼※󰄄※󰁶〗	捺·左右〔丶 ⿰〕
白	rrrr	rrr		〖󰃽※󰃽※󰃽※󰃽〗	
仔	wbg			〖󰄥※󰂍※󰀝〗	横·左右〔一 ⿰〕
他	wbn	wb		〖󰄥※󰂓※󰁀〗	折·左右〔乛 ⿰〕
斥	ryi			〖󰄀※󰄼※󰀦〗	捺·杂合〔丶 ⿻〕
瓜	rcyi	rcy		〖󰃼※󰂙※󰂃※󰀦〗	捺·杂合〔丶 ⿻〕
乎	tufk			〖󰄋※󰄒※󰀛※󰀵〗	竖·杂合〔丨 ⿻〕
丛	wwgf	wwg		〖󰄤※󰄤※󰂶※󰀘〗	横·上下〔一 ⿱〕
令	wycu	wyc		〖󰄤※󰄼※󰁻※󰁧〗	捺·上下〔丶 ⿱〕
用	etnh	et/etn		〖󰂨※󰄋※󰂁※󰂺〗	
甩	env			〖󰂧※󰄻※󰁫〗	折·杂合〔乛 ⿻〕
印	qgbh	qgb		〖󰁚※󰂶※󰂕※󰀢〗	竖·左右〔丨 ⿰〕
尔	qiu	qi		〖󰄾※󰃅※󰁧〗	捺·上下〔丶 ⿱〕
乐	tnii	tn/tni		〖󰄋※󰄃※󰃅※󰀦〗	捺·杂合〔丶 ⿻〕
句	qkd			〖󰃷※󰃏※󰀌〗	横·杂合〔一 ⿻〕
匆	qryi	qry		〖󰃷※󰁤※󰄼※󰀦〗	捺·杂合〔丶 ⿻〕
册	mmgd	mm		〖󰀼※󰀼※󰂶※󰀌〗	横·杂合〔一 ⿻〕
卯	qtbh			〖󰁚※󰄋※󰂕※󰀢〗	竖·左右〔丨 ⿰〕
犯	qtbn	qtb		〖󰃻※󰁥※󰂑※󰁀〗	折·左右〔乛 ⿰〕
外	qhy	qh		〖󰃹※󰂿※󰁶〗	捺·左右〔丶 ⿰〕
处	thi	th		〖󰄐※󰂿※󰀦〗	捺·杂合〔丶 ⿻〕
冬	tuu	tu		〖󰄐※󰁦※󰁧〗	捺·上下〔丶 ⿱〕
鸟	qgd			〖󰁠※󰂶※󰀌〗	横·杂合〔一 ⿻〕
务	ter	te		〖󰄐※󰂫※󰁣〗	丿·上下〔丿 ⿱〕
包	qnv	qn		〖󰃷※󰃠※󰁫〗	折·杂合〔乛 ⿻〕
饥	qnwn	qnw		〖󰄾※󰁐※󰄨※󰁀〗	折·左右〔乛 ⿰〕
主	ygd	y		〖󰄼※󰂷※󰀌〗	横·杂合〔一 ⿻〕
市	ymhj	ym		〖󰄶※󰃜※󰂺※󰀬〗	竖·上下〔丨 ⿱〕
立	uuuu	uu/uuu		〖󰄓※󰄓※󰄓※󰄓〗	
冯	ucgg	ucg		〖󰄑※󰀊※󰂶※󰀝〗	横·左右〔一 ⿰〕
玄	yxu			〖󰄶※󰄩※󰁧〗	捺·上下〔丶 ⿱〕
闪	uwi	uw		〖󰄙※󰄤※󰀦〗	捺·杂合〔丶 ⿻〕
兰	udf			〖󰄒※󰂜※󰀘〗	横·上下〔一 ⿱〕
半	ugk	ug		〖󰄒※󰀟※󰀵〗	竖·杂合〔丨 ⿻〕
汁	ifh			〖󰃁※󰂱※󰀢〗	竖·左右〔丨 ⿰〕
汇	ian			〖󰃁※󰂋※󰁀〗	折·左右〔乛 ⿰〕
头	udi	ud		〖󰁦※󰂝※󰀦〗	捺·杂合〔丶 ⿻〕
汉	icy	ic		〖󰃁※󰂘※󰁶〗	捺·左右〔丶 ⿰〕
宁	psj	ps		〖󰃰※󰄆※󰀬〗	竖·上下〔丨 ⿱〕
穴	pwu			〖󰃰※󰄦※󰁧〗	捺·上下〔丶 ⿱〕
它	pxb	px		〖󰃰※󰄮※󰀅〗	折·上下〔乛 ⿱〕
讨	yfy			〖󰄵※󰂳※󰁶〗	捺·左右〔丶 ⿰〕
写	pgng	pgn		〖󰃱※󰂶※󰁔※󰂶〗	
让	yhg	yh		〖󰄵※󰂽※󰀝〗	横·左右〔一 ⿰〕
礼	pynn			〖󰃲※󰁶※󰄻※󰁀〗	折·左右〔乛 ⿰〕
训	ykh	yk		〖󰄵※󰃎※󰀢〗	竖·左右〔丨 ⿰〕
议	yyry	yyr		〖󰄵※󰄼※󰄄※󰁶〗	捺·左右〔丶 ⿰〕
必	nte			〖󰃢※󰄋※󰀏〗	丿·杂合〔丿 ⿻〕
讯	ynfh	ynf		〖󰄵※󰄺※󰂱※󰀢〗	竖·左右〔丨 ⿰〕
记	ynn	yn		〖󰄵※󰃟※󰁀〗	折·左右〔乛 ⿰〕
永	ynii	yni		〖󰄼※󰂁※󰀩※󰀦〗	捺·杂合〔丶 ⿻〕
司	ngkd	ngk		〖󰂁※󰂶※󰃏※󰀌〗	横·杂合〔一 ⿻〕
尼	nxv	nx		〖󰃡※󰄮※󰁫〗	折·杂合〔乛 ⿻〕
民	nav	n		〖󰁂※󰀁※󰁫〗	折·杂合〔乛 ⿻〕
弗	xjk			〖󰄬※󰀯※󰀵〗	竖·杂合〔丨 ⿻〕
弘	xcy	xc		〖󰄬※󰂙※󰁶〗	捺·左右〔丶 ⿰〕
出	bmk	bm		〖󰂔※󰃘※󰀵〗	竖·杂合〔丨 ⿻〕
辽	bpk	bp		〖󰂒※󰃮※󰀵〗	竖·杂合〔丨 ⿻〕
奶	vbt			〖󰄟※󰂖※󰁥〗	丿·左右〔丿 ⿰〕
