char	code	code_short	code_more	units	flag
猎	qtaj	qta		〖※※※〗	
猫	qtal			〖※※※〗	
凰	wrgd			〖※※※〗	横·杂合〔一 ⿻〕
猖	qtjj			〖※※※〗	
猛	qtbl			〖※※※〗	
祭	wfiu	wfi		〖※※※〗	捺·上下〔丶 ⿱〕
馅	qnqe			〖※※※〗	
馆	qnpn	qnp		〖※※※〗	
凑	udwd	udw		〖※※※〗	
减	udgy	udg		〖※※※〗	
毫	ykpn			〖※※※〗	
烹	ykbo			〖※※※〗	
庶	oaoi			〖※※※〗	捺·杂合〔丶 ⿻〕
麻	ossi	oss		〖※※※〗	捺·杂合〔丶 ⿻〕
庵	odjn			〖※※※〗	
痊	uwgd	uwg		〖※※※〗	横·杂合〔一 ⿻〕
痒	uugk	uug		〖※※※〗	竖·杂合〔丨 ⿻〕
痕	uvei	uve		〖※※※〗	捺·杂合〔丶 ⿻〕
廊	oyvb			〖※※※〗	
康	ovii	ovi		〖※※※〗	捺·杂合〔丶 ⿻〕
庸	oveh	ove		〖※※※〗	
鹿	onjx	onj		〖※※※〗	
盗	uqwl			〖※※※〗	
章	ujfj			〖※※※〗	竖·上下〔丨 ⿱〕
竟	ujqb	ujq		〖※※※〗	折·上下〔乛 ⿱〕
商	yumk	yum		〖※※※〗	
族	yttd	ytt		〖※※※〗	
旋	ytnh	ytn		〖※※※〗	
望	yneg			〖※※※〗	
率	yxif	yx/yxi		〖※※※〗	
阎	uqed	uqe		〖※※※〗	横·杂合〔一 ⿻〕
阐	uulk	uul		〖※※※〗	竖·杂合〔丨 ⿻〕
着	ughf	ug		〖※※※〗	横·上下〔一 ⿱〕
羚	ugwc	ugw		〖※※※〗	
盖	uglf	ugl		〖※※※〗	横·上下〔一 ⿱〕
眷	udhf	udh		〖※※※〗	横·上下〔一 ⿱〕
粘	ohkg	ohk		〖※※※〗	横·左右〔一 ⿰〕
粗	oegg	oe/oeg		〖※※※〗	横·左右〔一 ⿰〕
粒	oug			〖※※〗	横·左右〔一 ⿰〕
断	onrh	on/onr		〖※※※〗	竖·左右〔丨 ⿰〕
剪	uejv			〖※※※〗	
兽	ulgk	ulg		〖※※※〗	
焊	ojfh	ojf		〖※※※〗	竖·左右〔丨 ⿰〕
焕	oqmd	oqm		〖※※※〗	
清	igeg	ige		〖※※※〗	横·左右〔一 ⿰〕
添	igdn	igd		〖※※※〗	
鸿	iaqg	iaq		〖※※※〗	
淋	issy	iss		〖※※※〗	捺·左右〔丶 ⿰〕
涯	idff	idf		〖※※※〗	
淹	idjn	idj		〖※※※〗	
渠	ians			〖※※※〗	
渐	ilrh	il/ilr		〖※※※〗	竖·左右〔丨 ⿰〕
淑	ihgc			〖※※※〗	
淌	iimk	iim		〖※※※〗	
混	ijxx	ijx		〖※※※〗	
淮	iwyg	iwy		〖※※※〗	横·左右〔一 ⿰〕
淆	irde	ird		〖※※※〗	
渊	itoh			〖※※※〗	
淫	ietf	iet		〖※※※〗	
渔	iqgg			〖※※※〗	横·左右〔一 ⿰〕
淘	iqrm	iqr		〖※※※〗	
淳	iykb	iyk		〖※※※〗	
液	iywy	iyw		〖※※※〗	
淤	iywu			〖※※※〗	
淡	iooy	io/ioo		〖※※※〗	捺·左右〔丶 ⿰〕
淀	ipgh			〖※※※〗	
深	ipws	ipw		〖※※※〗	
涮	inmj	inm		〖※※※〗	
涵	ibib	ibi		〖※※※〗	
婆	ihcv			〖※※※〗	
梁	ivws	ivw		〖※※※〗	
渗	icde	icd		〖※※※〗	
情	ngeg	nge		〖※※※〗	横·左右〔一 ⿰〕
惜	najg			〖※※※〗	横·左右〔一 ⿰〕
惭	nlrh	nl/nlr		〖※※※〗	竖·左右〔丨 ⿰〕
悼	nhjf			〖※※※〗	
惧	nhwy	nhw		〖※※※〗	捺·左右〔丶 ⿰〕
惕	njqr	njq		〖※※※〗	
惟	nwyg	nw		〖※※※〗	横·左右〔一 ⿰〕
惊	nyki	nyk		〖※※※〗	
惦	nohk	noh		〖※※※〗	
悴	nywf			〖※※※〗	
惋	npqb	npq		〖※※※〗	
惨	ncde	ncd		〖※※※〗	
惯	nxfm	nx/nxf		〖※※※〗	
寇	pfqc			〖※※※〗	
寅	pgmw	pgm		〖※※※〗	
寄	pdsk	pds		〖※※※〗	
寂	phgc	phg		〖※※※〗	
宿	pwdj			〖※※※〗	
窒	pwgf	pwg		〖※※※〗	
窑	pwrm	pwr		〖※※※〗	
密	pntm	pn		〖※※※〗	
谋	yafs	ya/yaf		〖※※※〗	
谍	yans	yan		〖※※※〗	
谎	yayk	yay		〖※※※〗	
谐	yxxr	yxx		〖※※※〗	
袱	puwy			〖※※※〗	
祷	pydf	pyd		〖※※※〗	
祸	pykw			〖※※※〗	
谓	yleg	yl/yle		〖※※※〗	横·左右〔一 ⿰〕
谚	yute	yut		〖※※※〗	
谜	yopy			〖※※※〗	捺·左右〔丶 ⿰〕
逮	vipi	vip		〖※※※〗	捺·杂合〔丶 ⿻〕
敢	nbty	nb		〖※※※〗	捺·左右〔丶 ⿰〕
尉	nfif			〖※※※〗	
屠	nftj	nft		〖※※※〗	
弹	xulh	xul		〖※※※〗	竖·左右〔丨 ⿰〕
隋	bdae	bda		〖※※※〗	
堕	bdef			〖※※※〗	
随	bdep	bd		〖※※※〗	
蛋	nhju	nhj		〖※※※〗	捺·上下〔丶 ⿱〕
隅	bjmy	bjm		〖※※※〗	
隆	btgg	btg		〖※※※〗	
隐	bqvn	bq/bqv		〖※※※〗	
婚	vqaj	vq/vqa		〖※※※〗	
婶	vpjh	vpj		〖※※※〗	
婉	vpqb	vpq		〖※※※〗	
颇	hcdm	hcd		〖※※※〗	
颈	cadm	cad		〖※※※〗	
绩	xgmy	xgm		〖※※※〗	捺·左右〔丶 ⿰〕
绪	xftj	xft		〖※※※〗	
续	xfnd	xfn		〖※※※〗	
骑	cgdk			〖※※※〗	
绰	xhjf	xhj		〖※※※〗	
绳	xkjn	xkj		〖※※※〗	
维	xwyg	xwy		〖※※※〗	横·左右〔一 ⿰〕
绵	xrmh	xrm		〖※※※〗	
绷	xeeg	xee		〖※※※〗	横·左右〔一 ⿰〕
绸	xmfk	xmf		〖※※※〗	
综	xpfi	xpf		〖※※※〗	
绽	xpgh	xpg		〖※※※〗	
绿	xviy	xv/xvi		〖※※※〗	捺·左右〔丶 ⿰〕
缀	xccc	xcc		〖※※※〗	
巢	vjsu	vjs		〖※※※〗	捺·上下〔丶 ⿱〕
琴	ggwn	ggw		〖※※※〗	
琳	gssy	gss		〖※※※〗	捺·左右〔丶 ⿰〕
琢	ggey	gge		〖※※※〗	
琼	gyki	gyk		〖※※※〗	
斑	gygg	gyg		〖※※※〗	横·左右〔一 ⿰〕
替	fwfj	fwf		〖※※※〗	
揍	rdwd			〖※※※〗	
款	ffiw	ffi		〖※※※〗	
堪	fadn	fad		〖※※※〗	
塔	fawk	faw		〖※※※〗	
搭	rawk	raw		〖※※※〗	
