char	code	code_short	code_more	units	flag
一	ggll	g/ggl		〖※※※〗	
乙	nnll	nnl		〖※※※〗	
二	fgg	fg		〖※※〗	
十	fgh			〖※※〗	
丁	sgh			〖※※〗	
厂	dgt			〖※※〗	
七	agn	ag		〖※※〗	
卜	hhy			〖※※〗	
八	wty	wt		〖※※〗	
人	wwww	w		〖※※※〗	
入	tyi	ty		〖※※〗	捺·杂合〔丶 ⿻〕
儿	qtn	qt		〖※※〗	
匕	xtn			〖※※〗	
几	wtn			〖※※〗	
九	vtn	vt		〖※※〗	
刁	ngd			〖※※〗	横·杂合〔一 ⿻〕
了	bnh	b		〖※※〗	
刀	vnt	vn		〖※※〗	
力	ent	en		〖※※〗	
乃	bnt			〖※※〗	
又	cccc	cc		〖※※※〗	
三	dggg			〖※※※〗	
干	fggh			〖※※※〗	
于	gfk	gf		〖※※〗	竖·杂合〔丨 ⿻〕
亏	fnv			〖※※〗	折·杂合〔乛 ⿻〕
工	aaaa	a/aa/aaa		〖※※※〗	
土	ffff	ff		〖※※※〗	
士	fghg			〖※※※〗	
才	fte	ft		〖※※〗	丿·杂合〔丿 ⿻〕
下	ghi	gh		〖※※〗	捺·杂合〔丶 ⿻〕
寸	fghy			〖※※※〗	
大	dddd	dd		〖※※※〗	
丈	dyi			〖※※〗	捺·杂合〔丶 ⿻〕
与	gngd	gn/gng		〖※※※〗	横·杂合〔一 ⿻〕
万	gqe	gq		〖※※〗	丿·杂合〔丿 ⿻〕
上	hgd	h/hg		〖※※〗	横·杂合〔一 ⿻〕
小	ihty	ih/iht		〖※※※〗	
口	kkkk			〖※※※〗	
山	mmmm	mm/mmm		〖※※※〗	
巾	mhk			〖※※〗	竖·杂合〔丨 ⿻〕
千	tfk			〖※※〗	竖·杂合〔丨 ⿻〕
乞	tnb			〖※※〗	折·上下〔乛 ⿱〕
川	kthh			〖※※※〗	
亿	wnn			〖※※〗	折·左右〔乛 ⿰〕
个	whj	wh		〖※※〗	竖·上下〔丨 ⿱〕
夕	qtny			〖※※※〗	
久	qyi	qy		〖※※〗	捺·杂合〔丶 ⿻〕
么	tcu	tc		〖※※〗	捺·上下〔丶 ⿱〕
勺	qyi			〖※※〗	捺·杂合〔丶 ⿻〕
凡	wyi			〖※※〗	捺·杂合〔丶 ⿻〕
丸	vyi			〖※※〗	捺·杂合〔丶 ⿻〕
及	byi	by		〖※※〗	捺·杂合〔丶 ⿻〕
广	oygt	oy/oyg		〖※※※〗	
亡	ynv			〖※※〗	折·杂合〔乛 ⿻〕
门	uyhn	uy/uyh		〖※※※〗	
丫	uhk			〖※※〗	竖·杂合〔丨 ⿻〕
义	yri	yr		〖※※〗	捺·杂合〔丶 ⿻〕
之	pppp	pp/ppp		〖※※※〗	
尸	nngt			〖※※※〗	
己	nngn	nng		〖※※※〗	
已	nnnn	nn		〖※※※〗	
巳	nngn			〖※※※〗	
弓	xngn	xng		〖※※※〗	
子	bbbb	bb/bbb		〖※※※〗	
卫	bgd	bg		〖※※〗	横·杂合〔一 ⿻〕
也	bnhn	bn		〖※※※〗	
女	vvvv	vvv		〖※※※〗	
刃	vyi			〖※※〗	捺·杂合〔丶 ⿻〕
飞	nui			〖※※〗	捺·杂合〔丶 ⿻〕
习	nud	nu		〖※※〗	横·杂合〔一 ⿻〕
叉	cyi	cy		〖※※〗	捺·杂合〔丶 ⿻〕
马	cgd	cg		〖※※〗	横·杂合〔一 ⿻〕
乡	xte			〖※※〗	丿·杂合〔丿 ⿻〕
丰	dhk			〖※※〗	竖·杂合〔丨 ⿻〕
王	gggg	ggg		〖※※※〗	
开	gak	ga		〖※※〗	竖·杂合〔丨 ⿻〕
井	fjk			〖※※〗	竖·杂合〔丨 ⿻〕
天	gdi	gd		〖※※〗	捺·杂合〔丶 ⿻〕
夫	fwi	fw		〖※※〗	捺·杂合〔丶 ⿻〕
元	fqb			〖※※〗	折·上下〔乛 ⿱〕
无	fqv	fq		〖※※〗	折·杂合〔乛 ⿻〕
云	fcu			〖※※〗	捺·上下〔丶 ⿱〕
专	fnyi	fny		〖※※※〗	捺·杂合〔丶 ⿻〕
丐	ghnv	ghn		〖※※※〗	折·杂合〔乛 ⿻〕
扎	rnn			〖※※〗	折·左右〔乛 ⿰〕
艺	anb			〖※※〗	折·上下〔乛 ⿱〕
木	ssss			〖※※※〗	
五	gghg	gg/ggh		〖※※※〗	
支	fcu			〖※※〗	捺·上下〔丶 ⿱〕
厅	dsk	ds		〖※※〗	竖·杂合〔丨 ⿻〕
不	dhi	i		〖※※〗	捺·杂合〔丶 ⿻〕
犬	dyi			〖※※〗	捺·杂合〔丶 ⿻〕
太	dyi	dy		〖※※〗	捺·杂合〔丶 ⿻〕
区	ari	ar		〖※※〗	捺·杂合〔丶 ⿻〕
历	dee			〖※※〗	丿·杂合〔丿 ⿻〕
歹	gqi			〖※※〗	捺·杂合〔丶 ⿻〕
友	dcu	dc		〖※※〗	捺·上下〔丶 ⿱〕
尤	dnyi	dny		〖※※※〗	捺·杂合〔丶 ⿻〕
匹	aqv			〖※※〗	折·杂合〔乛 ⿻〕
车	lgnh	lg/lgn		〖※※※〗	
巨	and			〖※※〗	横·杂合〔一 ⿻〕
牙	ahte	ah/aht		〖※※※〗	丿·杂合〔丿 ⿻〕
屯	gbnv			〖※※※〗	折·杂合〔乛 ⿻〕
戈	agny			〖※※※〗	
比	xxn	xx		〖※※〗	折·左右〔乛 ⿰〕
互	gxgd	gx/gxg		〖※※※〗	横·杂合〔一 ⿻〕
切	avt	av		〖※※〗	丿·左右〔丿 ⿰〕
瓦	gnny	gnn		〖※※※〗	
止	hhgg	hh/hhg		〖※※※〗	
少	ite	it		〖※※〗	丿·杂合〔丿 ⿻〕
曰	jhng			〖※※※〗	
日	jjjj	jj		〖※※※〗	
中	khk	k/kh		〖※※〗	竖·杂合〔丨 ⿻〕
贝	mhny			〖※※※〗	
冈	mri			〖※※〗	捺·杂合〔丶 ⿻〕
内	mwi	mw		〖※※〗	捺·杂合〔丶 ⿻〕
水	iiii	ii		〖※※※〗	
见	mqb	mq		〖※※〗	折·上下〔乛 ⿱〕
午	tfj			〖※※〗	竖·上下〔丨 ⿱〕
牛	tgk			〖※※〗	竖·杂合〔丨 ⿻〕
手	rtgh	rt/rtg		〖※※※〗	
气	rnb	rn		〖※※〗	折·上下〔乛 ⿱〕
毛	tfnv	tfn		〖※※※〗	折·杂合〔乛 ⿻〕
壬	tfd			〖※※〗	横·杂合〔一 ⿻〕
升	tak			〖※※〗	竖·杂合〔丨 ⿻〕
夭	tdi			〖※※〗	捺·杂合〔丶 ⿻〕
长	tayi	ta/tay		〖※※※〗	捺·杂合〔丶 ⿻〕
仁	wfg			〖※※〗	横·左右〔一 ⿰〕
什	wfh			〖※※〗	竖·左右〔丨 ⿰〕
片	thgn	thg		〖※※※〗	
仆	why			〖※※〗	捺·左右〔丶 ⿰〕
化	wxn	wx		〖※※〗	折·左右〔乛 ⿰〕
仇	wvn			〖※※〗	折·左右〔乛 ⿰〕
币	tmhk	tmh		〖※※※〗	竖·杂合〔丨 ⿻〕
仍	wbt			〖※※〗	丿·左右〔丿 ⿰〕
仅	wcy			〖※※〗	捺·左右〔丶 ⿰〕
斤	rtth	rtt		〖※※※〗	
爪	rhyi			〖※※※〗	捺·杂合〔丶 ⿻〕
反	rci			〖※※〗	捺·杂合〔丶 ⿻〕
介	wjj	wj		〖※※〗	竖·上下〔丨 ⿱〕
父	wru			〖※※〗	捺·上下〔丶 ⿱〕
从	wwy	ww		〖※※〗	捺·左右〔丶 ⿰〕
仑	wxb			〖※※〗	折·上下〔乛 ⿱〕
今	wynb	wyn		〖※※※〗	折·上下〔乛 ⿱〕
凶	rbk			〖※※〗	竖·杂合〔丨 ⿻〕
分	wvr	wv		〖※※〗	丿·上下〔丿 ⿱〕
乏	tpu			〖※※〗	捺·上下〔丶 ⿱〕
公	wcu	wc		〖※※〗	捺·上下〔丶 ⿱〕
仓	wbb			〖※※〗	折·上下〔乛 ⿱〕
月	eeee	ee/eee		〖※※※〗	
氏	qav			〖※※〗	折·杂合〔乛 ⿻〕
勿	qre			〖※※〗	丿·杂合〔丿 ⿻〕
欠	qwu	qw		〖※※〗	捺·上下〔丶 ⿱〕
风	wri	wr		〖※※〗	捺·杂合〔丶 ⿻〕
丹	myd	my		〖※※〗	横·杂合〔一 ⿻〕
匀	qud	qu		〖※※〗	横·杂合〔一 ⿻〕
乌	qngd	qng		〖※※※〗	横·杂合〔一 ⿻〕
勾	qci			〖※※〗	捺·杂合〔丶 ⿻〕
凤	wci			〖※※〗	捺·杂合〔丶 ⿻〕
六	ywu	yw		〖※※〗	捺·上下〔丶 ⿱〕
文	yygy	yyg		〖※※※〗	
亢	ywb			〖※※〗	折·上下〔乛 ⿱〕
方	yygt	yy		〖※※※〗	
火	oooo	oo/ooo		〖※※※〗	
为	ytny	o		〖※※※〗	
斗	ufk	uf		〖※※〗	竖·杂合〔丨 ⿻〕
忆	nnn			〖※※〗	折·左右〔乛 ⿰〕
计	yfh	yf		〖※※〗	竖·左右〔丨 ⿰〕
订	ysh	ys		〖※※〗	竖·左右〔丨 ⿰〕
户	yne			〖※※〗	丿·杂合〔丿 ⿻〕
认	ywy			〖※※〗	捺·左右〔丶 ⿰〕
冗	pwb			〖※※〗	折·上下〔乛 ⿱〕
讥	ywn			〖※※〗	折·左右〔乛 ⿰〕
心	nyny	ny		〖※※※〗	
尺	nyi			〖※※〗	捺·杂合〔丶 ⿻〕
引	xhh	xh		〖※※〗	竖·左右〔丨 ⿰〕
丑	nhfd	nhf		〖※※※〗	横·杂合〔一 ⿻〕
巴	cnhn	cn		〖※※※〗	
孔	bnn			〖※※〗	折·左右〔乛 ⿰〕
队	bwy	bw		〖※※〗	捺·左右〔丶 ⿰〕
办	ewi	ew		〖※※〗	捺·杂合〔丶 ⿻〕
以	nywy	c		〖※※※〗	捺·左右〔丶 ⿰〕
允	cqb	cq		〖※※〗	折·上下〔乛 ⿱〕
予	cnhj			〖※※※〗	竖·上下〔丨 ⿱〕
邓	cbh	cb		〖※※〗	竖·左右〔丨 ⿰〕
劝	cet			〖※※〗	丿·左右〔丿 ⿰〕
双	ccy			〖※※〗	捺·左右〔丶 ⿰〕
书	nnhy	nnh		〖※※※〗	
幻	xnn			〖※※〗	折·左右〔乛 ⿰〕
玉	gyi	gy		〖※※〗	捺·杂合〔丶 ⿻〕
刊	fjh			〖※※〗	竖·左右〔丨 ⿰〕
未	fii			〖※※〗	捺·杂合〔丶 ⿻〕
末	gsi	gs		〖※※〗	捺·杂合〔丶 ⿻〕
示	fiu	fi		〖※※〗	捺·上下〔丶 ⿱〕
击	gbj	gb		〖※※〗	竖·上下〔丨 ⿱〕
打	rsh	rs		〖※※〗	竖·左右〔丨 ⿰〕
巧	agnn			〖※※※〗	折·左右〔乛 ⿰〕
正	ghd			〖※※〗	横·杂合〔一 ⿻〕
扑	rhy			〖※※〗	捺·左右〔丶 ⿰〕
卉	faj			〖※※〗	竖·上下〔丨 ⿱〕
扒	rwy			〖※※〗	捺·左右〔丶 ⿰〕
功	aet	ae		〖※※〗	丿·左右〔丿 ⿰〕
扔	rbt			〖※※〗	丿·左右〔丿 ⿰〕
去	fcu	fc		〖※※〗	捺·上下〔丶 ⿱〕
甘	afd			〖※※〗	横·杂合〔一 ⿻〕
世	anv	an		〖※※〗	折·杂合〔乛 ⿻〕
艾	aru			〖※※〗	捺·上下〔丶 ⿱〕
古	dghg	dgh		〖※※※〗	
节	abj	ab		〖※※〗	竖·上下〔丨 ⿱〕
本	sgd	sg		〖※※〗	横·杂合〔一 ⿻〕
术	syi	sy		〖※※〗	捺·杂合〔丶 ⿻〕
可	skd	sk		〖※※〗	横·杂合〔一 ⿻〕
丙	gmwi			〖※※※〗	捺·杂合〔丶 ⿻〕
左	daf	da		〖※※〗	横·上下〔一 ⿱〕
厉	dgqe	dgq		〖※※※〗	丿·杂合〔丿 ⿻〕
石	dgtg			〖※※※〗	
右	dkf	dk		〖※※〗	横·上下〔一 ⿱〕
布	dmhj	dmh		〖※※※〗	竖·上下〔丨 ⿱〕
夯	der			〖※※〗	丿·上下〔丿 ⿱〕
戊	dxyi			〖※※※〗	捺·杂合〔丶 ⿻〕
龙	dxyi	dx		〖※※※〗	捺·杂合〔丶 ⿻〕
平	gufk	gu/guf		〖※※※〗	竖·杂合〔丨 ⿻〕
灭	goi			〖※※〗	捺·杂合〔丶 ⿻〕
轧	lnn			〖※※〗	折·左右〔乛 ⿰〕
东	aii	ai		〖※※〗	捺·杂合〔丶 ⿻〕
卡	hghu	hgh		〖※※※〗	捺·上下〔丶 ⿱〕
北	uxn	ux		〖※※〗	折·左右〔乛 ⿰〕
占	hkf	hk		〖※※〗	横·上下〔一 ⿱〕
凸	hghg			〖※※※〗	
卢	hnr	hn		〖※※〗	丿·上下〔丿 ⿱〕
业	ogd	og		〖※※〗	横·杂合〔一 ⿻〕
旧	hjg	hj		〖※※〗	横·左右〔一 ⿰〕
帅	jmhh			〖※※※〗	竖·左右〔丨 ⿰〕
归	jvg	jv		〖※※〗	横·左右〔一 ⿰〕
旦	jgf			〖※※〗	横·上下〔一 ⿱〕
目	hhhh	hhh		〖※※※〗	
且	egd	eg		〖※※〗	横·杂合〔一 ⿻〕
叶	kfh	kf		〖※※〗	竖·左右〔丨 ⿰〕
甲	lhnh	lhn		〖※※※〗	
申	jhk	jh		〖※※〗	竖·杂合〔丨 ⿻〕
叮	ksh			〖※※〗	竖·左右〔丨 ⿰〕
电	jnv	jn		〖※※〗	折·杂合〔乛 ⿻〕
号	kgnb	kg/kgn		〖※※※〗	折·上下〔乛 ⿱〕
田	llll	ll/lll		〖※※※〗	
由	mhng	mh		〖※※※〗	
只	kwu	kw		〖※※〗	捺·上下〔丶 ⿱〕
叭	kwy			〖※※〗	捺·左右〔丶 ⿰〕
史	kri			〖※※〗	捺·杂合〔丶 ⿻〕
央	mdi	md		〖※※〗	捺·杂合〔丶 ⿻〕
兄	kqb	kq		〖※※〗	折·上下〔乛 ⿱〕
叽	kwn			〖※※〗	折·左右〔乛 ⿰〕
叼	kngg			〖※※※〗	横·左右〔一 ⿰〕
叫	knhh	kn/knh		〖※※※〗	竖·左右〔丨 ⿰〕
叩	kbh			〖※※〗	竖·左右〔丨 ⿰〕
叨	kvt			〖※※〗	丿·左右〔丿 ⿰〕
另	ker	ke		〖※※〗	丿·上下〔丿 ⿱〕
叹	kcy			〖※※〗	捺·左右〔丶 ⿰〕
冉	mfd			〖※※〗	横·杂合〔一 ⿻〕
皿	lhng			〖※※※〗	
凹	hnmg	hnm		〖※※※〗	
囚	lwi			〖※※〗	捺·杂合〔丶 ⿻〕
四	lhng	lh		〖※※※〗	
生	tgd	tg		〖※※〗	横·杂合〔一 ⿻〕
矢	tdu			〖※※〗	捺·上下〔丶 ⿱〕
失	rwi	rw		〖※※〗	捺·杂合〔丶 ⿻〕
乍	thff			〖※※※〗	横·上下〔一 ⿱〕
禾	tttt	ttt		〖※※※〗	
丘	rgd			〖※※〗	横·杂合〔一 ⿻〕
付	wfy			〖※※〗	捺·左右〔丶 ⿰〕
仗	wdyy			〖※※※〗	捺·左右〔丶 ⿰〕
代	wayy	wa		〖※※※〗	捺·左右〔丶 ⿰〕
仙	wmh	wm		〖※※〗	竖·左右〔丨 ⿰〕
们	wun			〖※※〗	折·左右〔乛 ⿰〕
仪	wyry	wyr		〖※※※〗	捺·左右〔丶 ⿰〕
白	rrrr	rrr		〖※※※〗	
仔	wbg			〖※※〗	横·左右〔一 ⿰〕
他	wbn	wb		〖※※〗	折·左右〔乛 ⿰〕
斥	ryi			〖※※〗	捺·杂合〔丶 ⿻〕
瓜	rcyi	rcy		〖※※※〗	捺·杂合〔丶 ⿻〕
乎	tufk			〖※※※〗	竖·杂合〔丨 ⿻〕
丛	wwgf	wwg		〖※※※〗	横·上下〔一 ⿱〕
令	wycu	wyc		〖※※※〗	捺·上下〔丶 ⿱〕
用	ehk	eh		〖※※〗	竖·杂合〔丨 ⿻〕
甩	env			〖※※〗	折·杂合〔乛 ⿻〕
印	qgbh	qg		〖※※※〗	竖·左右〔丨 ⿰〕
尔	qiu			〖※※〗	捺·上下〔丶 ⿱〕
乐	tnii	tn/tni		〖※※※〗	捺·杂合〔丶 ⿻〕
句	qkd			〖※※〗	横·杂合〔一 ⿻〕
匆	qryi	qry		〖※※※〗	捺·杂合〔丶 ⿻〕
册	mmgd	mmg		〖※※※〗	横·杂合〔一 ⿻〕
卯	qtbh			〖※※※〗	竖·左右〔丨 ⿰〕
犯	qtbn	qtb		〖※※※〗	折·左右〔乛 ⿰〕
外	qhy	qh		〖※※〗	捺·左右〔丶 ⿰〕
处	thi	th		〖※※〗	捺·杂合〔丶 ⿻〕
冬	tuu			〖※※〗	捺·上下〔丶 ⿱〕
鸟	qyng	qyn		〖※※※〗	
务	ter	te		〖※※〗	丿·上下〔丿 ⿱〕
包	qnv			〖※※〗	折·杂合〔乛 ⿻〕
饥	qnwn	qnw		〖※※※〗	折·左右〔乛 ⿰〕
主	ygd	y		〖※※〗	横·杂合〔一 ⿻〕
市	ymhj	ym		〖※※※〗	竖·上下〔丨 ⿱〕
立	uuuu	uu/uuu		〖※※※〗	
冯	ucgg	ucg		〖※※※〗	横·左右〔一 ⿰〕
玄	yxu			〖※※〗	捺·上下〔丶 ⿱〕
闪	uwi			〖※※〗	捺·杂合〔丶 ⿻〕
兰	udf			〖※※〗	横·上下〔一 ⿱〕
半	ugk			〖※※〗	竖·杂合〔丨 ⿻〕
汁	ifh			〖※※〗	竖·左右〔丨 ⿰〕
汇	ian			〖※※〗	折·左右〔乛 ⿰〕
头	udi	ud		〖※※〗	捺·杂合〔丶 ⿻〕
汉	icy	ic		〖※※〗	捺·左右〔丶 ⿰〕
宁	psj	ps		〖※※〗	竖·上下〔丨 ⿱〕
穴	pwu			〖※※〗	捺·上下〔丶 ⿱〕
它	pxb	px		〖※※〗	折·上下〔乛 ⿱〕
讨	yfy			〖※※〗	捺·左右〔丶 ⿰〕
写	pgng	pgn		〖※※※〗	
让	yhgg	yh/yhg		〖※※※〗	横·左右〔一 ⿰〕
礼	pynn	pyn		〖※※※〗	折·左右〔乛 ⿰〕
训	ykh			〖※※〗	竖·左右〔丨 ⿰〕
议	yyry	yyr		〖※※※〗	捺·左右〔丶 ⿰〕
必	nte	nt		〖※※〗	丿·杂合〔丿 ⿻〕
讯	ynfh	ynf		〖※※※〗	竖·左右〔丨 ⿰〕
记	ynn	yn		〖※※〗	折·左右〔乛 ⿰〕
永	ynii	yni		〖※※※〗	捺·杂合〔丶 ⿻〕
司	ngkd	ngk		〖※※※〗	横·杂合〔一 ⿻〕
尼	nxv			〖※※〗	折·杂合〔乛 ⿻〕
民	nav	n		〖※※〗	折·杂合〔乛 ⿻〕
弗	xjk			〖※※〗	竖·杂合〔丨 ⿻〕
弘	xcy			〖※※〗	捺·左右〔丶 ⿰〕
出	bmk	bm		〖※※〗	竖·杂合〔丨 ⿻〕
辽	bpk			〖※※〗	竖·杂合〔丨 ⿻〕
奶	vbt			〖※※〗	丿·左右〔丿 ⿰〕
奴	vcy			〖※※〗	捺·左右〔丶 ⿰〕
召	vkf			〖※※〗	横·上下〔一 ⿱〕
加	ekg	ek		〖※※〗	横·左右〔一 ⿰〕
皮	hci	hc		〖※※〗	捺·杂合〔丶 ⿻〕
边	epe	ep		〖※※〗	丿·杂合〔丿 ⿻〕
孕	bbf			〖※※〗	横·上下〔一 ⿱〕
发	ntcy	v/ntc		〖※※※〗	
圣	cff			〖※※〗	横·上下〔一 ⿱〕
对	cfy	cf		〖※※〗	捺·左右〔丶 ⿰〕
台	ckf	ck		〖※※〗	横·上下〔一 ⿱〕
矛	cnht			〖※※※〗	
纠	xnhh	xnh		〖※※※〗	竖·左右〔丨 ⿰〕
母	xnny			〖※※※〗	
幼	xet			〖※※〗	丿·左右〔丿 ⿰〕
丝	xxgf	xxg		〖※※※〗	横·上下〔一 ⿱〕
邦	dtbh	dtb		〖※※※〗	竖·左右〔丨 ⿰〕
式	aayi	aay		〖※※※〗	捺·杂合〔丶 ⿻〕
迂	gfpk	gfp		〖※※※〗	竖·杂合〔丨 ⿻〕
刑	gajh			〖※※※〗	竖·左右〔丨 ⿰〕
戎	ade			〖※※〗	丿·杂合〔丿 ⿻〕
动	fcet	fce		〖※※※〗	丿·左右〔丿 ⿰〕
扛	rag			〖※※〗	横·左右〔一 ⿰〕
寺	ffu			〖※※〗	捺·上下〔丶 ⿱〕
吉	fkf			〖※※〗	横·上下〔一 ⿱〕
扣	rkg			〖※※〗	横·左右〔一 ⿰〕
考	ftgn	ftg		〖※※※〗	
托	rtan	rta		〖※※※〗	折·左右〔乛 ⿰〕
老	ftxb	ftx		〖※※※〗	折·上下〔乛 ⿱〕
巩	awyy			〖※※※〗	捺·左右〔丶 ⿰〕
圾	fbyy	fby		〖※※※〗	捺·左右〔丶 ⿰〕
执	rvyy			〖※※※〗	捺·左右〔丶 ⿰〕
扩	rot	ro		〖※※〗	丿·左右〔丿 ⿰〕
扫	rvg			〖※※〗	横·左右〔一 ⿰〕
地	fbn	f/fb		〖※※〗	折·左右〔乛 ⿰〕
场	fnrt			〖※※※〗	丿·左右〔丿 ⿰〕
扬	rnrt			〖※※※〗	丿·左右〔丿 ⿰〕
耳	bghg	bgh		〖※※※〗	
芋	agfj	agf		〖※※※〗	竖·上下〔丨 ⿱〕
共	awu	aw		〖※※〗	捺·上下〔丶 ⿱〕
芒	aynb			〖※※※〗	折·上下〔乛 ⿱〕
亚	gogd	gog		〖※※※〗	横·杂合〔一 ⿻〕
芝	apu			〖※※〗	捺·上下〔丶 ⿱〕
朽	sgnn			〖※※※〗	折·左右〔乛 ⿰〕
朴	shy			〖※※〗	捺·左右〔丶 ⿰〕
机	swn	sw		〖※※〗	折·左右〔乛 ⿰〕
权	scy	sc		〖※※〗	捺·左右〔丶 ⿰〕
过	fpi	fp		〖※※〗	捺·杂合〔丶 ⿻〕
臣	ahnh			〖※※※〗	
吏	gkri	gkr		〖※※※〗	捺·杂合〔丶 ⿻〕
再	gmfd	gmf		〖※※※〗	横·杂合〔一 ⿻〕
协	fewy	fe/few		〖※※※〗	捺·左右〔丶 ⿰〕
西	sghg			〖※※※〗	
压	dfyi	dfy		〖※※※〗	捺·杂合〔丶 ⿻〕
厌	ddyi	ddy		〖※※※〗	捺·杂合〔丶 ⿻〕
戌	dgxy	dgx		〖※※※〗	
在	dhfd	d/dhf		〖※※※〗	横·杂合〔一 ⿻〕
百	djf	dj		〖※※〗	横·上下〔一 ⿱〕
有	def	e		〖※※〗	横·上下〔一 ⿱〕
存	dhbd	dhb		〖※※※〗	横·杂合〔一 ⿻〕
而	dmjj	dmj		〖※※※〗	竖·上下〔丨 ⿱〕
页	dmu			〖※※〗	捺·上下〔丶 ⿱〕
匠	ark			〖※※〗	竖·杂合〔丨 ⿻〕
夸	dfnb	dfn		〖※※※〗	折·上下〔乛 ⿱〕
夺	dfu	df		〖※※〗	捺·上下〔丶 ⿱〕
灰	dou			〖※※〗	捺·上下〔丶 ⿱〕
达	dpi	dp		〖※※〗	捺·杂合〔丶 ⿻〕
列	gqjh	gqj		〖※※※〗	竖·左右〔丨 ⿰〕
死	gqxv	gqx		〖※※※〗	折·杂合〔乛 ⿻〕
成	dnxy	dn		〖※※※〗	
夹	gudi	gud		〖※※※〗	捺·杂合〔丶 ⿻〕
夷	gxwi	gxw		〖※※※〗	捺·杂合〔丶 ⿻〕
轨	lvn	lv		〖※※〗	折·左右〔乛 ⿰〕
邪	ahtb			〖※※※〗	
尧	atgq			〖※※※〗	
划	ajh	aj		〖※※〗	竖·左右〔丨 ⿰〕
迈	gqpe	gqp		〖※※※〗	丿·杂合〔丿 ⿻〕
毕	xxfj	xxf		〖※※※〗	竖·上下〔丨 ⿱〕
至	gcff	gcf		〖※※※〗	横·上下〔一 ⿱〕
此	hxn	hx		〖※※〗	折·左右〔乛 ⿰〕
贞	hmu	hm		〖※※〗	捺·上下〔丶 ⿱〕
师	jgmh	jgm		〖※※※〗	
尘	iff			〖※※〗	横·上下〔一 ⿱〕
尖	idu	id		〖※※〗	捺·上下〔丶 ⿱〕
劣	iter			〖※※※〗	丿·上下〔丿 ⿱〕
光	igqb	ig		〖※※※〗	折·上下〔乛 ⿱〕
当	ivf	iv		〖※※〗	横·上下〔一 ⿱〕
早	jfj			〖※※〗	竖·上下〔丨 ⿱〕
吁	kgfh			〖※※※〗	竖·左右〔丨 ⿰〕
吐	kfg			〖※※〗	横·左右〔一 ⿰〕
吓	kghy	kgh		〖※※※〗	捺·左右〔丶 ⿰〕
虫	jhny	jhn		〖※※※〗	
曲	mad	ma		〖※※〗	横·杂合〔一 ⿻〕
团	lfte	lf		〖※※※〗	丿·杂合〔丿 ⿻〕
吕	kkf	kk		〖※※〗	横·上下〔一 ⿱〕
同	mgkd	m/mgk		〖※※※〗	横·杂合〔一 ⿻〕
吊	kmhj	kmh		〖※※※〗	竖·上下〔丨 ⿱〕
吃	ktnn	kt/ktn		〖※※※〗	折·左右〔乛 ⿰〕
因	ldi	ld		〖※※〗	捺·杂合〔丶 ⿻〕
吸	kbyy	kby		〖※※※〗	捺·左右〔丶 ⿰〕
吗	kcgg	kcg		〖※※※〗	横·左右〔一 ⿰〕
吆	kxy			〖※※〗	捺·左右〔丶 ⿰〕
屿	mgng	mgn		〖※※※〗	
屹	mtnn	mtn		〖※※※〗	折·左右〔乛 ⿰〕
岁	mqu			〖※※〗	捺·上下〔丶 ⿱〕
帆	mhwy	mhw		〖※※※〗	
回	lkd	lk		〖※※〗	横·杂合〔一 ⿻〕
岂	mnb	mn		〖※※〗	折·上下〔乛 ⿱〕
则	mjh	mj		〖※※〗	竖·左右〔丨 ⿰〕
刚	mrjh	mr/mrj		〖※※※〗	竖·左右〔丨 ⿰〕
网	mrri	mrr		〖※※※〗	捺·杂合〔丶 ⿻〕
肉	mwwi	mww		〖※※※〗	捺·杂合〔丶 ⿻〕
年	rhfk	rh		〖※※※〗	竖·杂合〔丨 ⿻〕
朱	rii	ri		〖※※〗	捺·杂合〔丶 ⿻〕
先	tfqb	tfq		〖※※※〗	折·上下〔乛 ⿱〕
丢	tfcu	tfc		〖※※※〗	捺·上下〔丶 ⿱〕
廷	tfpd	tfp		〖※※※〗	横·杂合〔一 ⿻〕
舌	tdd			〖※※〗	横·杂合〔一 ⿻〕
竹	thth	tht		〖※※※〗	
迁	tfpk			〖※※※〗	竖·杂合〔丨 ⿻〕
乔	tdjj	tdj		〖※※※〗	竖·上下〔丨 ⿱〕
迄	tnpv	tnp		〖※※※〗	折·杂合〔乛 ⿻〕
伟	wfnh			〖※※※〗	
传	wfny	wfn		〖※※※〗	
乒	rgtr	rgt		〖※※※〗	丿·上下〔丿 ⿱〕
乓	rgyu	rgy		〖※※※〗	捺·上下〔丶 ⿱〕
休	wsy			〖※※〗	捺·左右〔丶 ⿰〕
伍	wgg			〖※※〗	横·左右〔一 ⿰〕
伏	wdyy	wdy		〖※※※〗	捺·左右〔丶 ⿰〕
优	wdny	wdn		〖※※※〗	
臼	ethg	eth		〖※※※〗	
伐	way			〖※※〗	捺·左右〔丶 ⿰〕
延	thpd	thp	thpv	〖※※※〗	横·杂合〔一 ⿻〕
仲	wkhh			〖※※※〗	竖·左右〔丨 ⿰〕
件	wtgh	wtg		〖※※※〗	竖·左右〔丨 ⿰〕
任	wtfg	wtf		〖※※※〗	横·左右〔一 ⿰〕
伤	wtet	wte		〖※※※〗	丿·左右〔丿 ⿰〕
价	wwjh	wwj		〖※※※〗	竖·左右〔丨 ⿰〕
伦	wwxn	wwx		〖※※※〗	折·左右〔乛 ⿰〕
