汉字	全码	简码	容错码	一级简码	二级简码	键名字根	笔画字根	成字字根	字根拆解	笔画拆解
化	wxn	wx		0	1	0	0	0	※※	
仇	wvn			0	0	0	0	0	※※	
币	tmhk	tmh		0	0	0	0	0	※※※	
仍	wen	we	*wen/wet	0	1	0	0	0	※※	
仅	wcy			0	0	0	0	0	※※	
斤	rtth	rtt		0	0	0	0	1	※※※	
爪	rhyi			0	0	0	0	0	※※※	
反	rci	rc		0	1	0	0	0	※※	
介	wjj	wj		0	1	0	0	0	※※	
父	wqu			0	0	0	0	0	※※	
从	wwy	ww		0	1	0	0	0	※※	
仑	wxb			0	0	0	0	0	※※	
今	wynb			0	0	0	0	0	※※※	
凶	qbk	qb		0	1	0	0	0	※※	
分	wvb	wv	*wvb/wvr	0	1	0	0	0	※※	
乏	tpi		*tpi/tpu	0	0	0	0	0	※※	
公	wcu	wc		0	1	0	0	0	※※	
仓	wbb			0	0	0	0	0	※※	
月	eeee	e/eee		0	0	1	0	0	※※※	
氏	qav	qa		0	1	0	0	0	※※	
勿	qre			0	0	0	0	0	※※	
欠	qwu	qw		0	1	0	0	0	※※	
风	mqi	mq		0	1	0	0	0	※※	
丹	myd			0	0	0	0	0	※※	
匀	qud	qu		0	1	0	0	0	※※	
乌	qngd	qng		0	0	0	0	0	※※※	
勾	qci			0	0	0	0	0	※※	
凤	mci	mc		0	1	0	0	0	※※	
六	uygy	uy		0	1	0	0	1	※※※	
文	yygy			0	0	0	0	1	※※※	
亢	ymb			0	0	0	0	0	※※	
方	yygn	yy	*yygn/yygt	0	1	0	0	1	※※※	
火	oooo	o/ooo		0	0	1	0	0	※※※	
为	ylyi	o/yl/yly		1	1	0	0	0	※※※	
斗	ufk			0	0	0	0	0	※※	
忆	nnn	nn		0	1	0	0	0	※※	
计	yfh	yf		0	1	0	0	0	※※	
订	ysh	ys		0	1	0	0	0	※※	
户	yne			0	0	0	0	0	※※	
认	ywy	yw		0	1	0	0	0	※※	
冗	pmb			0	0	0	0	0	※※	
讥	ymn			0	0	0	0	0	※※	
心	nyny	ny	nyn	0	1	0	0	1	※※※	
尺	nyi			0	0	0	0	0	※※	
引	xhh	xh		0	1	0	0	0	※※	
丑	nfd		*nfd/nhfd	0	0	0	0	0	※※	
巴	cnhn	cnh		0	0	0	0	1	※※※	
孔	bnn			0	0	0	0	0	※※	
队	bwy	bw		0	1	0	0	0	※※	
办	lwi	lw		0	1	0	0	0	※※	
以	nywy	c/nyw		1	0	0	0	0	※※※	
允	cqb	cq		0	1	0	0	0	※※	
予	cbj			0	0	0	0	0	※※	
邓	cbh	cb		0	1	0	0	0	※※	
劝	cln	cl	*cln/clt	0	1	0	0	0	※※	
双	ccy	cc		0	1	0	0	0	※※	
书	nnhy	nnh		0	0	0	0	0	※※※	
幻	xnn			0	0	0	0	0	※※	
玉	gyi	gy		0	1	0	0	0	※※	
刊	fjh			0	0	0	0	0	※※	
未	fii			0	0	0	0	0	※※	
末	gsi	gs		0	1	0	0	0	※※	
示	fiu	fi		0	1	0	0	0	※※	
击	fmk			0	0	0	0	0	※※	
打	rsh	rs		0	1	0	0	0	※※	
巧	agnn			0	0	0	0	0	※※※	
正	ghd			0	0	0	0	0	※※	
扑	rhy			0	0	0	0	0	※※	
卉	faj			0	0	0	0	0	※※	
扒	rwy			0	0	0	0	0	※※	
功	aln	al	*aln/alt	0	1	0	0	0	※※	
扔	ren	re	*ren/ret	0	1	0	0	0	※※	
去	fcu			0	0	0	0	0	※※	
甘	afd			0	0	0	0	0	※※	
世	anv	an		0	1	0	0	0	※※	
艾	aqu			0	0	0	0	0	※※	
古	dghg	dgh		0	0	0	0	1	※※※	
节	abj	ab		0	1	0	0	0	※※	
本	sgd	sg		0	1	0	0	0	※※	
术	syi	sy		0	1	0	0	0	※※	
可	skd	sk		0	1	0	0	0	※※	
丙	gmwi	gmw		0	0	0	0	0	※※※	
左	daf	da		0	1	0	0	0	※※	
厉	ddnv	ddn		0	0	0	0	0	※※※	
石	dgtg	d		0	0	0	0	1	※※※	
右	dkf	dk		0	1	0	0	0	※※	
布	dmhj	dmh		0	0	0	0	0	※※※	
夯	dlb		*dlb/dlr	0	0	0	0	0	※※	
戊	dnyt		*dnt/dny/dnty/dnyt	0	0	0	0	0	※※※	
龙	dxv	dx	*dxe/dxv	0	1	0	0	0	※※	
平	guhk	gu/guh		0	1	0	0	0	※※※	
灭	goi			0	0	0	0	0	※※	
轧	lnn		ln	0	0	0	0	0	※※	
东	aii	ai		0	1	0	0	0	※※	
卡	hhu			0	0	0	0	0	※※	
北	uxn	ux		0	1	0	0	0	※※	
占	hkf	hk		0	1	0	0	0	※※	
凸	hgmg	hgm		0	0	0	0	0	※※※	
卢	hne	hn	*hne/hnr	0	1	0	0	0	※※	
业	ogd	og		0	1	0	0	0	※※	
旧	hjg	hj		0	1	0	0	0	※※	
帅	jmhh	jmh		0	0	0	0	0	※※※	
归	jvg	jv		0	1	0	0	0	※※	
旦	jgf			0	0	0	0	0	※※	
目	hhhh		h/hhh	0	0	1	0	0	※※※	
且	egd	eg		0	1	0	0	0	※※	
叶	kfh	kf		0	1	0	0	0	※※	
甲	lhnh			0	0	0	0	1	※※※	
申	jhk			0	0	0	0	0	※※	
叮	ksh			0	0	0	0	0	※※	
电	jnv	jn		0	1	0	0	0	※※	
号	kgnb	kgn		0	0	0	0	0	※※※	
田	llll	l/lll		0	0	1	0	0	※※※	
由	mhng	mh		0	1	0	0	1	※※※	
只	kwu	kw		0	1	0	0	0	※※	
叭	kwy			0	0	0	0	0	※※	
史	kqi	kq		0	1	0	0	0	※※	
央	mdi	md		0	1	0	0	0	※※	
兄	kqb			0	0	0	0	0	※※	
叽	kmn			0	0	0	0	0	※※	
叼	kngg	kng		0	0	0	0	0	※※※	
叫	knhh	kn/knh		0	1	0	0	0	※※※	
叩	kbh			0	0	0	0	0	※※	
叨	kvn		*kvn/kvt	0	0	0	0	0	※※	
另	klb	kl	*klb/klr	0	1	0	0	0	※※	
叹	kcy			0	0	0	0	0	※※	
冉	mfd			0	0	0	0	0	※※	
